edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
road_41,road_41,road_62,road_63,road,Motorway,0.2744,120,0.002287,5,7.995e-05,nan
road_2705,road_2705,road_63,road_3328,road,Motorway,0.0376,120,0.000313,5,5.516e-05,ایم 2 موٹروے
road_2711,road_2711,road_63,road_3332,road,Motorway,2.1694,120,0.018078,5,0.02757867,ایم 2 موٹروے
road_4977,road_4977,road_63,road_3331,road,Motorway,1.1082,120,0.009235,5,0.04756012,ایم 2 موٹروے
road_27379,road_27379,road_63,road_3337,road,Motorway,0.4906,120,0.004088,5,0.03499728,nan
road_4981,road_4981,road_64,road_65,road,Primary,0.0659,80,0.000824,4,0.00971394,Jaranwala Road
road_4982,road_4982,road_64,road_1759,road,Primary,20.4329,80,0.255411,4,0.0,Jaranwala Road
road_8281,road_8281,road_64,road_1760,road,Primary,18.2405,80,0.228006,4,0.00963591,Jaranwala Road
road_2691,road_2691,road_65,road_66,road,Primary,0.5656,80,0.00707,4,0.02798081,Jaranwala Road
road_2718,road_2718,road_65,road_3337,road,Motorway,0.6063,120,0.005052,5,0.03494611,nan
road_4984,road_4984,road_66,road_5543,road,Primary,2.5083,80,0.031354,4,0.02792869,Jaranwala - Lahore Road
road_4986,road_4986,road_66,road_1275,road,Primary,2.9351,80,0.036689,4,0.0,Jaranwala - Lahore Road
