city,lat,lon
Sangla Hill,31.70231276,73.41688761
Sanni,29.02268389,67.50128206
Sar Kharan,28.3995427,65.60853743
Sarai Alamgir,32.8664151,73.75093649
Sarai Naurang,32.74663463,70.72966942
Saranan,30.4621584,66.71317402
Sararogha,32.4591633,70.0128441
Sargodha,32.05424719,72.72864499
Sehnsa,33.54507743,73.70076503
Sehwan Sharif,26.24179786,67.67621242
Seo,35.33981573,73.1650335
Serwakai,32.34354679,69.91015219
Shabqadar,34.22972894,71.57709615
Shah Bunder,24.10689781,67.9397321
Shah Faisal Town,24.8723982,67.16208289
Shah Kot,31.59770618,73.56725284
Shahdad Kot,27.88114611,67.93275363
Shahdadpur,26.02958026,68.60780133
Shaheed Fazil Rahu,24.64122157,68.55071426
Shahpur,32.19962943,72.47920885
Shahrigh,30.20513948,67.58417753
Shakargarh,32.21712599,75.1716747
Shaogari,28.34499088,64.3415633
Sharak Pur,31.49914265,74.06538124
Sharda,34.90621948,74.30961799
Shawal,32.70018535,69.55492832
Sheikhupura,31.73697542,73.93551851
Sherani,31.68090077,69.76356767
Shewa,33.25297628,70.46934069
Shigar,35.73634155,75.92160108
Shikarpur,28.03202762,68.47211911
Shorkot,30.89227053,72.14967225
Shounter,34.99670219,74.898455
Shrengal,35.40176417,71.94567749
Shuja Abad,25.43543961,69.07972087
Shujabad,29.82506413,71.31322684
Sialkot,32.59539827,74.52161195
Sibi,29.72774177,68.25082253
Sijawal Junejo,27.80491111,68.12904202
Sikandar Abad,36.33323668,74.26288895
Sillanwali,31.76737243,72.52014543
Sindhri,25.65436608,69.17380561
Sinjawi,30.35340432,68.18077031
Sinjhoro,26.07573249,68.81149639
Site Town,24.91850971,67.00439587
Skardu,35.2777908,75.66491922
Sobho Dero,27.24758925,68.33786273
Sohawa,32.99569955,73.31463086
Sohbatpur,28.54195553,68.52141184
Sonmiani,25.41630363,66.77933173
Spinwam,33.16357445,70.30472721
Sui,28.74118222,68.97658904
Sujawal,24.65050906,68.07835463
Sukkur,27.71290719,68.82837578
Summundri,31.01958164,72.90669927
Sunster,25.5244497,61.86234965
Surab,28.32719456,66.18001042
