asset_id,edge_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,hazard_flood,hazard_cyclone,hazard_strike,hazard_accident,exposure_flood,exposure_cyclone,exposure_strike,exposure_accident,vulnerability_flood,vulnerability_cyclone,vulnerability_strike,vulnerability_accident,risk_flood,risk_cyclone,risk_strike,risk_accident,risk_natural,risk_human,composite_risk,edge_betweenness,importance_score,network_criticality_risk,risk_tier,timestamp,analysis_date
access_40,access_40,station_22,rail_int_6,intermodal,station_rail,0.0434,30.0,0.001447,0.0786,0.0,0.0,0.0,0.062890915968,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0017,0.0,0.0,0.0,0.0017,0.0,0.001,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_41,access_41,station_23,rail_int_24,intermodal,station_rail,0.0113,30.0,0.000377,0.0082,0.0,0.0,0.0,0.006560296512000002,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_42,access_42,station_24,rail_int_53,intermodal,station_rail,0.0033,30.0,0.00011,0.0074,0.0,0.0,0.0,0.005920078144,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002079401702601639,0.0067,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_43,access_43,station_25,rail_int_33,intermodal,station_rail,0.012,30.0,0.0004,0.3967,0.0,0.0,0.0,0.31737523328,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0441,0.0,0.0,0.0,0.0441,0.0,0.0265,0.0027133423502267483,0.0088,0.0002,LOW,20260427_163314,2026-04-27 16:33:25
bridge_11,bridge_11,station_25,road_5738,intermodal,bridge_access,0.5407,30.0,0.018023,0.377,0.0,0.0,0.0,0.18135138028800002,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0239,0.0,0.0,0.0,0.0239,0.0,0.0143,0.002792584931179887,0.009,0.0001,LOW,20260427_163314,2026-04-27 16:33:25
access_44,access_44,station_26,rail_int_40,intermodal,station_rail,0.0492,30.0,0.00164,0.2138,0.0,0.0,0.0,0.17107366067200003,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0128,0.0,0.0,0.0,0.0128,0.0,0.0077,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_45,access_45,station_27,rail_int_30,intermodal,station_rail,0.0085,30.0,0.000283,0.2637,0.0,0.0,0.0,0.21096717264000003,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0195,0.0,0.0,0.0,0.0195,0.0,0.0117,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_46,access_46,station_28,rail_int_11,intermodal,station_rail,0.0084,30.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003978041212506962,0.0013,0.0,LOW,20260427_163314,2026-04-27 16:33:25
bridge_4,bridge_4,station_28,road_1780,intermodal,bridge_access,5.7943,30.0,0.193143,0.3204,0.0,0.0,0.0,0.1573564679424,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.0176,0.0,0.0,0.0,0.0176,0.0,0.0106,0.0004773649455008354,0.0015,0.0,LOW,20260427_163314,2026-04-27 16:33:25
access_47,access_47,station_29,rail_int_9,intermodal,station_rail,0.0276,30.0,0.00092,0.7546,0.0,0.0,0.0,0.6037466462720001,0.0,0.0,0.0,0.35,0.35,0.4,0.45,0.1595,0.0,0.0,0.0,0.1595,0.0,0.0957,7.956082425013923e-05,0.0003,0.0,LOW,20260427_163314,2026-04-27 16:33:25
