edge_id,asset_id,from_node,to_node,mode,road_type,length_km,avg_speed_kmh,travel_time_hr,capacity_index,edge_betweenness,name
road_15479,road_15479,road_13497,road_13500,road,Primary,4.8693,80.0,0.060866,4,0.0005569257697509747,چوکی سماہنی روڈ
road_15481,road_15481,road_13498,road_13502,road,Primary,5.2538,80.0,0.065672,4,0.00015912164850027846,Choki Smahni Road
road_15480,road_15480,road_13499,road_13501,road,Primary,0.0534,80.0,0.000668,4,0.0007160474182512531,Choki Smahni Road
road_19994,road_19994,road_13500,road_15927,road,Primary,0.0428,80.0,0.000535,4,0.0004773649455008354,چوکی سماہنی روڈ
road_25058,road_25058,road_13501,road_18409,road,Primary,3.6825,80.0,0.046031,4,0.0007956082425013924,چوکی سماہنی روڈ
road_15485,road_15485,road_13502,road_13504,road,Primary,8.5288,80.0,0.10661,4,7.956082425013923e-05,nan
road_15517,road_15517,road_13514,road_13515,road,Primary,1.6644,80.0,0.020805,4,7.956082425013923e-05,Faisalabad Okara Road
road_23443,road_23443,road_13515,road_17557,road,Primary,0.0931,80.0,0.001164,4,0.002031187843106055,Faisalabad Okara Road
road_15529,road_15529,road_13522,road_13523,road,Primary,0.0149,80.0,0.000186,4,7.956082425013923e-05,nan
road_15534,road_15534,road_13523,road_13524,road,Primary,1.9306,80.0,0.024133,4,7.956082425013923e-05,nan
road_15537,road_15537,road_13525,road_13526,road,Primary,2.6309,80.0,0.032886,4,7.956082425013923e-05,Tarbela Road
road_15539,road_15539,road_13525,road_13528,road,Primary,1.2611,80.0,0.015764,4,0.00015912164850027846,Tarbela Road
road_15540,road_15540,road_13528,road_13529,road,Primary,0.9944,80.0,0.01243,4,0.0002386824727504177,Tarbela Road
road_19274,road_19274,road_13534,road_15609,road,Trunk,12.5129,100.0,0.125129,5,0.023435754634418014,قومی شاہراہ
road_25829,road_25829,road_13547,road_14069,road,Motorway,0.1361,120.0,0.001134,5,0.002473227782639828,لاہور مشرقی بائی پاس
road_15592,road_15592,road_13551,road_13552,road,Motorway,0.7805,120.0,0.006504,5,0.0002386824727504177,nan
road_16944,road_16944,road_13551,road_13934,road,Motorway,2.5882,120.0,0.021568,5,7.956082425013924e-07,لاہور-سیالکوٹ موٹروے
road_16978,road_16978,road_13551,road_13935,road,Motorway,12.1002,120.0,0.100835,5,0.0003177659320550561,لاہور-سیالکوٹ موٹروے
road_15593,road_15593,road_13552,road_13553,road,Motorway,0.6551,120.0,0.005459,5,7.956082425013923e-05,nan
road_22242,road_22242,road_13552,road_16901,road,Motorway,0.0545,120.0,0.000454,5,7.956082425013923e-05,nan
road_15596,road_15596,road_13558,road_13559,road,Motorway,1.2009,120.0,0.010008,5,7.956082425013923e-05,nan
